P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,STIMULI,POOL,SCORE
s215,3,L,m,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L2,R1,R1,simulated,simulated,2556.133333333333
s216,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,X,R,R,simulated,simulated,2503.577053687053
s217,3,C,b,,,,R2,R2,R2,R2,R2,R2,R2,R1,R1,,,,L3,R2,R3,R1,simulated,simulated,2353.4124867724872
s218,2,R,a,,,,,,,L,R,L,R,R,R,R,X,R,L,L,R,R,simulated,simulated,2473.17093980094
s219,3,R,m,,,,,,,R3,R3,R3,R2,R2,R2,R3,R3,R3,L3,L3,R1,R1,simulated,simulated,2538.3711111111115
s220,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s221,3,C,f,,,,L2,L3,L3,X1,X1,X1,X1,X1,X1,,,,L2,L2,R1,R3,simulated,simulated,2481.9955555555557
s222,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.903201705702
s223,3,L,a,L2,L2,L2,L2,L3,L2,L2,L2,L2,,,,,,,L3,L1,R2,R1,simulated,simulated,2534.403650793651
s224,3,R,a,,,,,,,L2,R3,R3,R3,R3,R3,R2,R2,R2,L1,L1,R1,L3,simulated,simulated,2449.577777777778
s225,2,R,f,,,,,,,L,L,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2519.0554071854067
s226,3,L,b,L2,L2,R3,L3,L2,L2,L3,L3,L2,,,,,,,L1,L1,R1,R3,simulated,simulated,2474.391746031746
s227,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s228,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.903201705702
s229,3,C,f,,,,L3,L3,L3,L3,L3,R3,L3,R3,R3,,,,L1,L2,R1,R3,simulated,simulated,2468.6833333333334
s230,2,R,m,,,,,,,X,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2542.213620453621
s231,3,L,a,L2,L3,R1,R3,L3,L2,L3,L3,R3,,,,,,,L1,L1,R2,R1,simulated,simulated,2418.422222222222
s232,3,C,m,,,,L3,L3,L3,L3,L2,L3,L3,L3,L3,,,,L1,L1,R3,R2,simulated,simulated,2479.081746031746
s233,2,L,a,L,L,L,L,L,R,X,L,L,,,,,,,L,L,R,R,simulated,simulated,2488.036653901654
s234,3,R,b,,,,,,,R3,R3,R3,R3,R3,R3,R3,R2,R3,L3,L2,R1,R1,simulated,simulated,2556.877777777778
s235,2,C,f,,,,L,L,L,L,L,R,L,L,R,,,,L,L,R,R,simulated,simulated,2456.2773515373515
s236,3,R,f,,,,,,,L2,L3,L3,R3,R3,R3,R3,R2,R3,L1,L1,R1,R1,simulated,simulated,2507.4500000000003
s237,2,L,b,L,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,simulated,simulated,2510.0529365079365
s238,2,C,a,,,,L,R,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2458.000317460318
s239,3,L,m,L2,L3,L3,L3,L3,L3,L3,L3,L2,,,,,,,L1,L1,R1,R1,simulated,simulated,2549.0333333333333
s240,3,L,f,L2,L2,L3,L2,L3,L3,L3,L3,L3,,,,,,,L1,L1,R3,R3,simulated,simulated,2555.877777777778
s241,2,R,b,,,,,,,X,R,R,R,R,R,R,R,R,L,L,L,R,simulated,simulated,2443.920515225515
s242,2,L,m,L,L,X,X,R,X,X,X,X,,,,,,,L,L,R,R,simulated,simulated,2472.9593386243387
s243,3,C,a,,,,L3,L3,L1,L3,X1,L3,R3,R3,R3,,,,L1,L1,R1,R3,simulated,simulated,2459.645555555556
s244,2,R,a,,,,,,,X,R,R,R,R,R,X,R,R,L,L,R,R,simulated,simulated,2507.494418914419
s245,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,L1,L3,R2,R1,simulated,simulated,2554.6666666666665
s246,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,X,L,R,R,simulated,simulated,2506.9316022866024
s247,3,C,b,,,,L2,L1,R2,R2,R2,R2,R2,R2,R2,,,,L3,L2,R1,R1,simulated,simulated,2474.0034920634916
s248,3,R,a,,,,,,,L3,L3,R2,R2,R2,R2,R2,X1,R2,L1,L1,R1,R1,simulated,simulated,2491.9698412698417
s249,2,R,f,,,,,,,L,L,L,L,L,R,R,R,R,L,X,R,R,simulated,simulated,2424.516358826359
s250,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s251,3,L,b,X1,L2,L2,L3,L2,L3,L3,R3,R3,,,,,,,L1,L1,R1,R2,simulated,simulated,2482.1433333333334
s252,2,C,a,,,,R,X,X,R,R,L,R,R,R,,,,L,L,R,R,simulated,simulated,2421.437361897362
s253,3,L,m,L2,L2,L3,L2,L3,L3,L3,L3,L3,,,,,,,L1,R3,R2,R2,simulated,simulated,2459.688888888889
s254,2,L,b,L,X,X,X,X,X,R,X,X,,,,,,,L,X,R,R,simulated,simulated,2438.5673809523814
s255,3,R,f,,,,,,,L3,L3,L3,L3,L3,L3,L2,R2,R2,L1,L1,R1,R3,simulated,simulated,2439.011111111111
s256,2,L,m,L,L,L,L,L,L,L,R,L,,,,,,,L,X,R,R,simulated,simulated,2476.1705152255154
s257,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s258,3,L,f,L1,L2,L3,R2,X1,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2464.451111111111
s259,3,C,a,,,,L2,L2,R3,X1,R3,R3,R3,X1,R3,,,,L1,L1,R1,R1,simulated,simulated,2455.366666666667
s260,3,C,m,,,,L3,R1,X1,X1,X1,X1,X1,X1,R1,,,,L1,L1,R3,R1,simulated,simulated,2448.045555555556
s261,2,C,f,,,,L,L,L,L,L,L,L,L,R,,,,L,L,R,R,simulated,simulated,2477.2607294557297
s262,2,L,a,L,L,L,L,L,L,L,R,R,,,,,,,L,L,R,R,simulated,simulated,2519.055407185407
s263,3,R,b,,,,,,,R3,R1,R3,R3,R2,R3,R2,L3,R2,L1,L2,R1,R1,simulated,simulated,2462.476666666667
s264,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,L,simulated,simulated,2386.634782994783
s265,2,R,m,,,,,,,R,X,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2535.8302871202873
s266,3,L,a,L2,L2,L2,L2,L3,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,simulated,simulated,2549.836984126984
s267,3,C,f,,,,X1,L3,L3,X1,X1,X1,X1,X1,X1,,,,R2,R1,R1,R1,simulated,simulated,2281.978888888889
s268,2,L,m,L,X,L,L,X,L,L,L,L,,,,,,,R,L,R,R,simulated,simulated,2393.4845093795093
s269,3,L,f,L3,L1,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R3,R1,simulated,simulated,2550.867777777778
s270,2,R,b,,,,,,,X,R,R,R,X,R,R,R,L,L,L,R,R,simulated,simulated,2439.955484145484
s271,3,C,a,,,,L3,L3,X1,R1,R3,R3,R3,R2,R3,,,,L1,L1,R1,R1,simulated,simulated,2463.7622222222217
s272,3,L,m,L2,L2,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R2,R2,simulated,simulated,2560.016666666667
s273,2,C,a,,,,L,L,L,L,L,X,X,R,R,,,,L,L,R,R,simulated,simulated,2473.049088504089
s274,2,L,b,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,simulated,simulated,2513.9808465608467
s275,3,R,f,,,,,,,L3,X1,X1,X1,X1,R3,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2510.1000000000004
s276,3,C,b,,,,R2,R1,R2,R3,R3,R3,R2,R2,R2,,,,R1,L1,R1,R1,simulated,simulated,2329.3412698412694
s277,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,R,L,L,R,simulated,simulated,2370.1163394013392
s278,2,L,f,L,L,L,L,X,X,X,X,R,,,,,,,L,L,R,R,simulated,simulated,2505.498131313131
s279,3,R,m,,,,,,,R2,R2,R2,R2,R2,L2,L2,R2,R2,L2,L1,R1,R1,simulated,simulated,2429.9043915343914
s280,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,X,R,simulated,simulated,2503.577053687053
s281,3,C,f,,,,R1,L3,L3,X1,L3,X1,X1,X1,X1,,,,L1,L1,R3,R1,simulated,simulated,2421.5055555555555
s282,3,L,a,L2,L1,L2,X1,L2,L2,L2,L2,L2,,,,,,,L1,L1,L2,R3,simulated,simulated,2408.3485449735454
s283,2,C,b,,,,L,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.2607294557292
s284,3,R,a,,,,,,,L3,L3,R3,R3,R3,X1,R3,R3,R3,L2,L2,R1,R3,simulated,simulated,2482.7911111111107
s285,2,R,f,,,,,,,X,X,X,X,X,R,R,R,R,L,L,R,R,simulated,simulated,2521.222972582973
s286,3,L,b,L2,L2,L2,R3,L2,L2,X1,X1,R2,,,,,,,L1,L1,R2,R1,simulated,simulated,2470.2826984126987
s287,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s288,2,C,a,,,,L,L,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.6774556924556
s289,3,L,m,L2,L2,L2,L1,L1,L3,L3,L3,L3,,,,,,,L3,L1,R1,R1,simulated,simulated,2519.186666666667
s290,3,R,f,,,,,,,L2,L1,R3,R3,X1,R3,R3,R3,R2,L2,L1,R1,R1,simulated,simulated,2492.5555555555557
s291,2,L,b,L,L,L,L,L,L,X,X,X,,,,,,,L,L,R,R,simulated,simulated,2529.0378495578498
s292,2,R,a,,,,,,,L,X,R,L,R,R,R,R,L,L,L,R,R,simulated,simulated,2425.3176310726312
s293,3,C,b,,,,L2,L2,R2,X1,R3,R3,R3,R3,L2,,,,L1,L1,R2,R1,simulated,simulated,2412.285555555556
s294,3,R,m,,,,,,,R3,R3,R3,L1,R3,R1,R3,R1,R2,L1,L1,R1,R1,simulated,simulated,2490.521111111111
s295,2,L,f,L,L,X,R,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2456.7245152995156
s296,3,C,a,,,,L1,R2,R2,R1,L1,R2,R2,R2,R2,,,,L1,L1,R1,R1,simulated,simulated,2424.721666666667
s297,2,L,m,L,L,L,L,L,X,L,L,L,,,,,,,L,L,R,L,simulated,simulated,2427.281220538721
s298,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s299,3,L,f,L3,L3,L3,L3,L3,L1,L2,L3,L3,,,,,,,L1,L1,R1,L1,simulated,simulated,2403.7844444444445
s300,2,R,m,,,,,,,L,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2535.466556961557
s301,3,C,f,,,,L3,L3,L3,L3,L3,R2,L3,R2,R2,,,,L1,L1,R1,R1,simulated,simulated,2478.702222222222
s302,3,L,a,L2,X1,L3,L2,X1,X1,X1,R1,X1,,,,,,,L1,L2,R3,R3,simulated,simulated,2472.3611111111113
s303,2,C,b,,,,X,X,X,X,X,X,X,R,X,,,,L,L,R,R,simulated,simulated,2490.8029365079365
s304,2,L,a,L,L,L,L,L,L,L,R,L,,,,,,,L,L,R,R,simulated,simulated,2524.4832236282236
s305,2,C,f,,,,L,L,L,L,L,L,R,R,R,,,,L,R,R,R,simulated,simulated,2384.2414309764313
s306,3,C,m,,,,L2,R2,R3,R1,R3,R3,R3,R3,R3,,,,L1,L2,R1,R1,simulated,simulated,2453.9733333333334
s307,3,R,b,,,,,,,R3,R3,R2,R3,R3,R1,R1,R2,X1,L1,L1,R1,R3,simulated,simulated,2474.9333333333334
s308,2,C,a,,,,L,L,L,X,X,X,X,R,R,,,,L,L,R,R,simulated,simulated,2477.148941798942
s309,3,R,f,,,,,,,X1,X1,X1,X1,X1,X1,L3,R3,R2,L2,L1,R3,X1,simulated,simulated,2418.894444444445
s310,2,L,b,L,L,L,X,X,X,X,X,X,,,,,,,L,L,R,R,simulated,simulated,2517.690396825397
s311,3,L,m,L2,L2,L1,L3,L3,L2,L3,L3,L1,,,,,,,L1,L1,R2,R3,simulated,simulated,2521.0344444444445
s312,2,R,a,,,,,,,L,R,L,R,R,R,L,R,R,L,X,R,R,simulated,simulated,2411.814199134199
s313,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s314,3,C,b,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,,,,L1,L1,R1,R1,simulated,simulated,2493.1611111111115
s315,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R1,L3,L1,R3,R1,simulated,simulated,2536.388888888889
s316,3,R,a,,,,,,,L2,X1,X1,R3,R3,R3,R3,R3,R3,L1,L1,R1,R1,simulated,simulated,2523.016666666667
s317,3,L,b,L3,L3,L3,R3,R3,R3,R3,R3,R3,,,,,,,L2,L3,R2,R2,simulated,simulated,2455.4333333333334
s318,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s319,2,R,f,,,,,,,L,L,L,X,X,X,L,R,X,L,L,R,R,simulated,simulated,2422.9207431457435
s320,3,C,f,,,,L2,L2,L2,L3,L2,L3,L3,L3,L3,,,,L1,L1,R1,R1,simulated,simulated,2476.7566666666667
s321,2,C,b,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,X,simulated,simulated,2451.4377777777777
s322,3,L,a,L2,L2,L2,L2,L2,L2,L3,L3,L3,,,,,,,L1,L1,R1,R2,simulated,simulated,2553.5722222222225
s323,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s324,2,C,f,,,,L,L,L,X,L,X,R,R,R,,,,L,L,R,R,simulated,simulated,2467.0820562770564
s325,3,C,m,,,,X1,X1,X1,X1,X1,L1,X1,X1,X1,,,,L1,L3,R3,R1,simulated,simulated,2462.6125396825396
s326,2,L,a,L,L,L,L,L,R,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2505.802807007807
s327,3,R,b,,,,,,,R3,R3,R2,R2,R2,R2,R2,R2,R2,R3,L1,R1,L3,simulated,simulated,2379.2833333333333
s328,3,C,a,,,,L2,L3,L3,L3,L3,L3,X1,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2482.955555555556
s329,2,L,m,L,R,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2478.5277494727497
s330,2,R,b,,,,,,,R,R,R,R,R,L,R,R,R,L,L,R,R,simulated,simulated,2490.683094128094
s331,3,L,f,L3,L1,L2,L1,L1,L2,L2,L2,L2,,,,,,,L1,L1,L3,R1,simulated,simulated,2424.976984126984
s332,2,L,b,L,L,L,L,R,R,R,R,R,,,,,,,L,L,R,R,simulated,simulated,2470.6035594035598
s333,3,R,f,,,,,,,L3,L3,L3,R2,R2,R2,R2,R2,R2,R1,L1,L2,R1,simulated,simulated,2306.966666666667
s334,2,C,a,,,,L,X,R,L,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2457.3312746512747
s335,3,L,m,L2,L2,L2,L2,L2,L2,L2,L2,L3,,,,,,,L1,R2,R1,R1,simulated,simulated,2455.233333333333
s336,2,C,m,,,,L,L,L,L,L,R,R,L,R,,,,L,L,X,R,simulated,simulated,2416.1719889369892
s337,2,R,f,,,,,,,L,L,R,X,R,R,R,R,R,L,L,L,R,simulated,simulated,2407.9535233285233
s338,3,L,b,L3,L3,L3,L3,L3,L3,X1,R3,R1,,,,,,,L2,L1,L2,R1,simulated,simulated,2384.5611111111116
s339,3,R,a,,,,,,,L2,R3,R3,R3,R3,L1,R3,R3,R2,L1,L3,R1,R3,simulated,simulated,2460.4577777777777
s340,2,C,b,,,,X,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2473.007792947793
s341,2,R,m,,,,,,,R,R,R,R,L,R,R,R,R,L,L,R,R,simulated,simulated,2497.8436106486106
s342,3,L,a,L2,L2,L3,L3,L3,L3,L3,R2,R3,,,,,,,L3,L1,R3,R1,simulated,simulated,2503.9277777777784
s343,3,C,f,,,,L2,L2,L2,L2,L2,L2,R2,R2,R2,,,,R3,L1,R1,R1,simulated,simulated,2391.4918253968253
s344,3,R,b,,,,,,,R3,R2,R3,R3,R3,R3,R3,R3,R2,L2,L1,R1,L2,simulated,simulated,2446.7833333333338
s345,2,C,f,,,,X,R,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2461.6029365079366
s346,3,C,m,,,,L3,L3,L3,L3,L3,R3,R3,R3,R1,,,,L1,L1,R1,R1,simulated,simulated,2484.328888888889
s347,2,L,a,L,L,X,L,L,L,L,L,X,,,,,,,L,L,R,R,simulated,simulated,2507.494418914419
s348,2,L,m,L,L,X,L,L,L,L,L,L,,,,,,,L,L,X,R,simulated,simulated,2472.7414402264403
s349,3,C,a,,,,L3,L3,L2,L3,L3,L3,R3,R3,R3,,,,L1,L1,L2,R1,simulated,simulated,2378.7666666666673
s350,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s351,3,L,f,L2,L3,L3,L2,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R3,simulated,simulated,2554.7588888888895
s352,3,C,b,,,,L2,X1,L1,X1,X1,X1,R2,R2,R1,,,,L1,L1,R1,R3,simulated,simulated,2458.5122222222226
s353,3,R,m,,,,,,,R3,R3,R3,R3,X1,R3,R2,R3,L2,R2,L1,R1,L3,simulated,simulated,2259.77
s354,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,X,R,R,simulated,simulated,2516.7505954230955
s355,2,L,f,L,L,L,L,L,L,L,L,X,,,,,,,L,L,R,R,simulated,simulated,2542.2136204536205
s356,3,L,a,L3,L3,L3,L3,L3,L3,L3,X1,X1,,,,,,,L1,L3,R2,R1,simulated,simulated,2526.827777777778
s357,2,R,m,,,,,,,R,R,R,R,R,R,R,L,R,L,L,R,R,simulated,simulated,2478.52774947275
s358,3,C,f,,,,L3,L3,L3,L3,L3,L1,L3,L3,R2,,,,L1,X1,R3,R2,simulated,simulated,2416.17
s359,2,C,b,,,,X,L,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2468.159783734784
s360,3,C,a,,,,R3,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R1,L1,simulated,simulated,2328.9400000000005
s361,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s362,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s363,3,L,f,L2,L3,L3,L3,L3,R2,L3,L3,L3,,,,,,,L1,L3,R3,R3,simulated,simulated,2490.56253968254
s364,3,C,m,,,,L3,L3,L1,L1,L1,R2,R2,R2,R2,,,,R3,L1,R1,R1,simulated,simulated,2376.9455555555555
s365,3,R,b,,,,,,,R3,R3,R3,R3,R3,R3,R2,L2,R3,L2,L1,R1,R1,simulated,simulated,2478.9000000000005
s366,2,L,a,L,L,L,L,L,L,R,X,X,,,,,,,R,L,R,R,simulated,simulated,2410.4995310245313
s367,2,C,f,,,,L,L,L,L,L,L,R,L,R,,,,L,L,R,L,simulated,simulated,2379.894037999038
s368,3,L,m,L2,R2,L1,L3,L1,L1,L3,L3,L3,,,,,,,R3,L1,R1,R1,simulated,simulated,2373.5633333333335
s369,2,C,a,,,,L,L,L,R,R,R,R,R,R,,,,L,L,R,X,simulated,simulated,2433.8618109668114
s370,3,R,f,,,,,,,L3,L2,L2,R3,R2,R2,R2,R2,R2,L1,L1,R1,R3,simulated,simulated,2495.5555555555557
s371,2,L,b,L,L,L,L,L,X,R,R,R,,,,,,,L,L,R,R,simulated,simulated,2491.670420875421
s372,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,L1,L2,L1,R1,L1,simulated,simulated,2382.1344444444444
s373,2,R,a,,,,,,,X,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2542.213620453621
s374,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s375,3,C,b,,,,L3,R1,R2,R2,R2,R2,R2,R2,R2,,,,L1,L1,R3,R1,simulated,simulated,2450.675714285714
s376,2,R,f,,,,,,,X,X,X,X,X,X,R,R,R,L,L,R,R,simulated,simulated,2517.6903968253973
s377,3,L,b,L3,L3,X1,X1,X1,X1,X1,X1,X1,,,,,,,L1,L2,R3,R3,simulated,simulated,2511.977777777778
s378,2,C,m,,,,L,X,L,L,L,L,L,L,R,,,,L,L,R,R,simulated,simulated,2445.7531635031637
s379,3,R,a,,,,,,,R3,L1,R3,R3,R3,R3,R3,L3,R2,L1,L2,R1,R1,simulated,simulated,2459.5888888888885
s380,3,C,m,,,,L2,L2,L2,L2,L2,R1,R1,R1,R1,,,,L1,L1,R1,R1,simulated,simulated,2469.97626984127
s381,2,L,a,L,L,L,L,L,X,X,X,X,,,,,,,L,R,R,R,simulated,simulated,2424.3261495911497
s382,3,R,b,,,,,,,R3,R3,R3,R2,L3,R3,R2,R2,R2,L1,L2,R1,R1,simulated,simulated,2499.0
s383,2,C,f,,,,L,L,L,L,L,L,L,X,R,,,,L,R,R,R,simulated,simulated,2377.1215915565917
s384,2,C,b,,,,L,X,R,X,R,R,R,R,R,,,,L,L,L,R,simulated,simulated,2368.3472053872056
s385,2,R,m,,,,,,,R,R,R,R,L,R,R,R,R,L,L,R,R,simulated,simulated,2497.8436106486106
s386,3,C,f,,,,L2,L2,L2,L3,L2,L3,L2,L3,L3,,,,L1,L1,R2,R2,simulated,simulated,2465.486984126984
s387,3,L,a,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.088888888889
s388,2,C,a,,,,L,L,L,L,L,L,R,R,R,,,,L,L,R,R,simulated,simulated,2478.372332852333
s389,3,R,f,,,,,,,L3,L3,R2,R2,R2,R2,R2,R2,R2,L1,R3,R1,R1,simulated,simulated,2439.355555555556
s390,3,L,m,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.088888888889
s391,2,L,b,L,L,L,L,X,X,X,R,X,,,,,,,L,L,R,R,simulated,simulated,2499.0147979797985
s392,3,L,f,L2,L2,L2,L2,L2,L2,X1,L2,X1,,,,,,,L1,L1,R1,R3,simulated,simulated,2531.811111111111
s393,3,C,a,,,,L2,L2,R2,R2,R2,R2,R3,R2,R2,,,,L1,R3,R1,R1,simulated,simulated,2390.592777777778
s394,2,R,b,,,,,,,R,R,R,R,R,R,R,R,X,L,L,R,R,simulated,simulated,2509.5450112850112
s395,2,L,m,X,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2509.5450112850112
s396,2,C,m,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.903201705702
s397,2,R,f,,,,,,,X,X,X,X,X,X,X,R,R,L,L,R,R,simulated,simulated,2513.9808465608467
s398,3,L,b,L3,L3,L3,L3,L3,L3,L3,R3,R2,,,,,,,L1,L1,R1,L1,simulated,simulated,2401.128888888889
s399,3,R,a,,,,,,,L3,R2,R2,L1,R2,R2,R2,R2,R2,L3,L1,R1,L3,simulated,simulated,2394.5725132275134
s400,2,C,b,,,,X,X,X,R,L,R,R,R,R,,,,L,X,R,R,simulated,simulated,2410.8268927368927
s401,2,R,m,,,,,,,R,R,R,R,R,R,L,R,R,L,L,L,R,simulated,simulated,2394.884185999186
s402,3,C,f,,,,L2,L2,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R1,R1,simulated,simulated,2488.766666666667
s403,3,L,a,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R3,R1,simulated,simulated,2560.6222222222223
s404,3,C,a,,,,L1,L3,L3,L3,L1,X1,R2,R3,R2,,,,L1,R3,R1,R1,simulated,simulated,2369.5677777777782
s405,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,R,L,R,R,simulated,simulated,2458.051205461205
s406,3,L,f,L1,L2,L3,L3,R2,L3,L3,L3,L3,,,,,,,L1,L1,R2,R2,simulated,simulated,2493.5666666666666
s407,2,R,b,,,,,,,X,X,X,R,R,X,R,R,X,L,L,R,R,simulated,simulated,2481.4948605098607
s408,3,L,b,R2,L3,L3,X1,X1,X1,X1,X1,X1,,,,,,,L3,L3,R3,L2,simulated,simulated,2323.2833333333333
s409,3,R,a,,,,,,,R3,X1,R3,R3,R2,R3,R3,R2,R2,L1,L2,R1,R1,simulated,simulated,2535.133333333333
s410,2,R,f,,,,,,,L,L,L,L,X,X,R,R,R,L,L,R,R,simulated,simulated,2464.708203463204
s411,2,C,m,,,,X,X,X,L,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2477.3876984126982
s412,2,C,a,,,,L,L,X,X,X,X,X,X,X,,,,L,L,X,X,simulated,simulated,2412.3366402116408
s413,2,L,b,L,L,L,L,L,R,L,X,X,,,,,,,L,L,R,R,simulated,simulated,2495.82411939912
s414,3,R,f,,,,,,,L2,L2,X1,R1,R3,R2,X1,R3,R2,L1,L3,R1,R1,simulated,simulated,2469.251111111111
s415,3,L,m,L2,L2,L1,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R2,simulated,simulated,2542.4448941798946
s416,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s417,3,C,b,,,,R3,R3,R3,R3,R3,R3,R2,R2,R2,,,,L3,L2,R1,R1,simulated,simulated,2482.1355555555556
s418,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s419,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R2,R2,L2,L3,R1,R1,simulated,simulated,2559.7166666666667
s420,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,L,X,simulated,simulated,2416.8017262367266
s421,3,C,f,,,,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,R2,R1,R1,simulated,simulated,2395.0722222222225
s422,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.903201705702
s423,3,L,a,L2,L1,L2,R3,L1,L3,L3,L3,L2,,,,,,,X1,R1,X1,R1,simulated,simulated,2294.464444444445
s424,2,L,b,L,L,L,L,X,X,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2501.7259496059496
s425,3,R,f,,,,,,,L3,L3,L3,L3,L3,R2,R2,R2,R2,L1,L1,R2,R3,simulated,simulated,2477.6777777777784
s426,3,L,m,L2,L2,L2,L3,L2,L2,L2,L2,L2,,,,,,,L1,L1,R2,L2,simulated,simulated,2437.023905723906
s427,2,C,a,,,,L,R,L,R,R,L,R,X,R,,,,L,L,R,R,simulated,simulated,2414.4490572390573
s428,2,L,m,L,L,X,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2514.6058846708847
s429,2,R,b,,,,,,,R,R,L,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2514.6453416953423
s430,3,C,a,,,,L2,L2,L2,R2,R2,R2,R2,R2,R2,,,,L2,L1,R1,R1,simulated,simulated,2477.674047619047
s431,3,L,f,L3,L2,L2,L2,L2,L2,L3,L3,L3,,,,,,,L3,L1,R1,R2,simulated,simulated,2525.1347619047624
